call_id,call_date,hcp_id,rep_id,product_id,channel,sample_dropped
CALL000000076,2023-08-18,HCP000002,REP009,P001,Rep Call,False
CALL000000077,2023-08-23,HCP000002,REP009,P001,Rep Call,False
CALL000000078,2023-09-25,HCP000002,REP009,P001,Rep Call,True
CALL000000079,2023-10-11,HCP000002,REP009,P001,Rep Call,False
CALL000000080,2023-10-17,HCP000002,REP009,P001,Rep Call,False
CALL000000081,2023-11-04,HCP000002,REP009,P001,Rep Call,False
CALL000000082,2023-12-12,HCP000002,REP009,P001,Rep Call,True
CALL000000083,2023-12-09,HCP000002,REP009,P001,Rep Call,False
CALL000000084,2024-01-08,HCP000002,REP009,P001,Rep Call,True
CALL000000085,2024-02-06,HCP000002,REP009,P001,Rep Call,False
CALL000000086,2024-04-25,HCP000002,REP009,P001,Rep Call,False
CALL000000087,2024-11-25,HCP000002,REP009,P001,Rep Call,False
CALL000000088,2024-11-10,HCP000002,REP009,P001,Rep Call,False
CALL000000089,2024-12-16,HCP000002,REP009,P001,Rep Call,True
CALL000000090,2025-02-06,HCP000002,REP009,P001,Rep Call,True
CALL000000091,2025-03-28,HCP000002,REP009,P001,Rep Call,False
CALL000000092,2025-05-04,HCP000002,REP009,P001,Rep Call,False
CALL000000093,2025-06-19,HCP000002,REP009,P001,Rep Call,True
CALL000000094,2025-06-24,HCP000002,REP009,P001,Rep Call,False
CALL000000095,2025-06-10,HCP000002,REP009,P001,Rep Call,False
CALL000000096,2025-06-16,HCP000002,REP009,P001,Rep Call,False
CALL000000097,2025-07-08,HCP000002,REP009,P001,Rep Call,True
CALL000000098,2025-08-09,HCP000002,REP009,P001,Rep Call,True
CALL000000099,2025-12-08,HCP000002,REP009,P001,Rep Call,False
CALL000000100,2023-01-10,HCP000003,REP015,P001,Rep Call,False
CALL000000101,2023-01-16,HCP000003,REP015,P001,Rep Call,False
CALL000000102,2023-01-21,HCP000003,REP015,P001,Rep Call,False
CALL000000103,2023-02-01,HCP000003,REP015,P001,Rep Call,False
CALL000000104,2023-02-06,HCP000003,REP015,P001,Rep Call,False
CALL000000105,2023-04-19,HCP000003,REP015,P001,Rep Call,True
CALL000000106,2023-05-23,HCP000003,REP015,P001,Rep Call,False
CALL000000107,2023-06-22,HCP000003,REP015,P001,Rep Call,True
CALL000000108,2023-06-18,HCP000003,REP015,P001,Rep Call,False
CALL000000109,2023-06-06,HCP000003,REP015,P001,Rep Call,False
CALL000000110,2023-06-06,HCP000003,REP015,P001,Rep Call,False
CALL000000111,2023-06-15,HCP000003,REP015,P001,Rep Call,False
CALL000000112,2023-07-15,HCP000003,REP015,P001,Rep Call,True
CALL000000113,2023-07-23,HCP000003,REP015,P001,Rep Call,False
CALL000000114,2023-07-03,HCP000003,REP015,P001,Rep Call,False
CALL000000115,2023-07-29,HCP000003,REP015,P001,Rep Call,False
CALL000000116,2023-07-25,HCP000003,REP015,P001,Rep Call,False
CALL000000117,2023-08-17,HCP000003,REP015,P001,Rep Call,True
CALL000000118,2023-08-10,HCP000003,REP015,P001,Rep Call,True
CALL000000119,2023-08-03,HCP000003,REP015,P001,Rep Call,False
CALL000000120,2023-09-29,HCP000003,REP015,P001,Rep Call,False
CALL000000121,2023-09-05,HCP000003,REP015,P001,Rep Call,False
CALL000000122,2023-09-12,HCP000003,REP015,P001,Rep Call,False
CALL000000123,2023-09-26,HCP000003,REP015,P001,Rep Call,True
CALL000000124,2023-10-30,HCP000003,REP015,P001,Rep Call,False
CALL000000125,2023-10-02,HCP000003,REP015,P001,Rep Call,True
CALL000000126,2023-11-21,HCP000003,REP015,P001,Rep Call,False
CALL000000127,2023-11-10,HCP000003,REP015,P001,Rep Call,False
CALL000000128,2023-12-14,HCP000003,REP015,P001,Rep Call,False
CALL000000129,2023-12-02,HCP000003,REP015,P001,Rep Call,False
CALL000000130,2024-01-28,HCP000003,REP015,P001,Rep Call,False
CALL000000131,2024-02-20,HCP000003,REP015,P001,Rep Call,True
CALL000000132,2024-02-27,HCP000003,REP015,P001,Rep Call,True
CALL000000133,2024-03-26,HCP000003,REP015,P001,Rep Call,False
CALL000000134,2024-04-06,HCP000003,REP015,P001,Rep Call,True
CALL000000135,2024-06-09,HCP000003,REP015,P001,Rep Call,True
CALL000000136,2024-06-26,HCP000003,REP015,P001,Rep Call,False
CALL000000137,2024-07-15,HCP000003,REP015,P001,Rep Call,True
CALL000000138,2024-07-07,HCP000003,REP015,P001,Rep Call,False
CALL000000139,2024-07-17,HCP000003,REP015,P001,Rep Call,False
CALL000000140,2024-07-24,HCP000003,REP015,P001,Rep Call,False
CALL000000141,2024-08-02,HCP000003,REP015,P001,Rep Call,False
CALL000000142,2024-09-06,HCP000003,REP015,P001,Rep Call,False
CALL000000143,2024-09-01,HCP000003,REP015,P001,Rep Call,False
CALL000000144,2024-09-02,HCP000003,REP015,P001,Rep Call,False
CALL000000145,2024-10-24,HCP000003,REP015,P001,Rep Call,False
CALL000000146,2024-11-06,HCP000003,REP015,P001,Rep Call,True
CALL000000147,2024-11-08,HCP000003,REP015,P001,Rep Call,False
CALL000000148,2024-11-29,HCP000003,REP015,P001,Rep Call,False
CALL000000149,2024-12-15,HCP000003,REP015,P001,Rep Call,False
CALL000000150,2024-12-16,HCP000003,REP015,P001,Rep Call,False
CALL000000151,2024-12-05,HCP000003,REP015,P001,Rep Call,True
CALL000000152,2025-01-04,HCP000003,REP015,P001,Rep Call,False
CALL000000153,2025-02-24,HCP000003,REP015,P001,Rep Call,False
CALL000000154,2025-02-07,HCP000003,REP015,P001,Rep Call,False
CALL000000155,2025-02-26,HCP000003,REP015,P001,Rep Call,False
CALL000000156,2025-03-02,HCP000003,REP015,P001,Rep Call,False
CALL000000157,2025-04-08,HCP000003,REP015,P001,Rep Call,False
CALL000000158,2025-04-24,HCP000003,REP015,P001,Rep Call,False
CALL000000159,2025-04-16,HCP000003,REP015,P001,Rep Call,False
CALL000000160,2025-04-19,HCP000003,REP015,P001,Rep Call,False
CALL000000161,2025-05-08,HCP000003,REP015,P001,Rep Call,False
CALL000000162,2025-05-10,HCP000003,REP015,P001,Rep Call,False
CALL000000163,2025-05-02,HCP000003,REP015,P001,Rep Call,True
CALL000000164,2025-05-04,HCP000003,REP015,P001,Rep Call,False
CALL000000165,2025-05-26,HCP000003,REP015,P001,Rep Call,False
CALL000000166,2025-06-02,HCP000003,REP015,P001,Rep Call,False
CALL000000167,2025-07-14,HCP000003,REP015,P001,Rep Call,False
CALL000000168,2025-08-26,HCP000003,REP015,P001,Rep Call,False
CALL000000169,2025-10-24,HCP000003,REP015,P001,Rep Call,False
CALL000000170,2025-10-22,HCP000003,REP015,P001,Rep Call,False
CALL000000171,2025-10-29,HCP000003,REP015,P001,Rep Call,True
CALL000000172,2025-10-20,HCP000003,REP015,P001,Rep Call,True
CALL000000173,2025-11-22,HCP000003,REP015,P001,Rep Call,False
CALL000000174,2025-12-06,HCP000003,REP015,P001,Rep Call,False
CALL000000175,2025-12-27,HCP000003,REP015,P001,Rep Call,True
CALL000000176,2025-12-13,HCP000003,REP015,P001,Rep Call,False
CALL000000177,2025-12-02,HCP000003,REP015,P001,Rep Call,False
CALL000000178,2023-03-14,HCP000004,REP016,P001,Rep Call,True
CALL000000179,2023-10-18,HCP000004,REP016,P001,Rep Call,False
CALL000000180,2023-11-20,HCP000004,REP016,P001,Rep Call,False
CALL000000181,2024-02-16,HCP000004,REP016,P001,Rep Call,False
CALL000000182,2024-04-24,HCP000004,REP016,P001,Rep Call,False
CALL000000183,2024-10-13,HCP000004,REP016,P001,Rep Call,False
CALL000000184,2025-01-06,HCP000004,REP016,P001,Rep Call,False
CALL000000185,2025-07-28,HCP000004,REP016,P001,Rep Call,False
CALL000000186,2025-08-15,HCP000004,REP016,P001,Rep Call,False
CALL000000187,2025-09-03,HCP000004,REP016,P001,Rep Call,False
CALL000000188,2023-01-04,HCP000005,REP004,P001,Rep Call,False
CALL000000189,2023-01-31,HCP000005,REP004,P001,Rep Call,False
CALL000000190,2023-04-23,HCP000005,REP004,P001,Rep Call,False
CALL000000191,2023-04-08,HCP000005,REP004,P001,Rep Call,False
CALL000000192,2023-04-13,HCP000005,REP004,P001,Rep Call,True
CALL000000193,2023-05-08,HCP000005,REP004,P001,Rep Call,False
CALL000000194,2023-05-02,HCP000005,REP004,P001,Rep Call,True
CALL000000195,2023-05-12,HCP000005,REP004,P001,Rep Call,False
CALL000000196,2023-06-04,HCP000005,REP004,P001,Rep Call,False
CALL000000197,2023-06-12,HCP000005,REP004,P001,Rep Call,True
CALL000000198,2023-06-02,HCP000005,REP004,P001,Rep Call,False
CALL000000199,2023-07-30,HCP000005,REP004,P001,Rep Call,False
CALL000000200,2023-09-16,HCP000005,REP004,P001,Rep Call,False
CALL000000201,2023-11-24,HCP000005,REP004,P001,Rep Call,False
CALL000000202,2023-12-27,HCP000005,REP004,P001,Rep Call,False
CALL000000203,2024-01-22,HCP000005,REP004,P001,Rep Call,False
CALL000000204,2024-02-03,HCP000005,REP004,P001,Rep Call,False
CALL000000205,2024-02-16,HCP000005,REP004,P001,Rep Call,False
CALL000000206,2024-02-04,HCP000005,REP004,P001,Rep Call,False
CALL000000207,2024-03-16,HCP000005,REP004,P001,Rep Call,False
CALL000000208,2024-03-29,HCP000005,REP004,P001,Rep Call,True
CALL000000209,2024-08-28,HCP000005,REP004,P001,Rep Call,False
CALL000000210,2024-09-11,HCP000005,REP004,P001,Rep Call,False
CALL000000211,2024-09-12,HCP000005,REP004,P001,Rep Call,False
CALL000000212,2024-09-08,HCP000005,REP004,P001,Rep Call,False
CALL000000213,2024-10-20,HCP000005,REP004,P001,Rep Call,False
CALL000000214,2024-10-21,HCP000005,REP004,P001,Rep Call,True
CALL000000215,2025-01-02,HCP000005,REP004,P001,Rep Call,False
CALL000000216,2025-02-16,HCP000005,REP004,P001,Rep Call,False
CALL000000217,2025-03-06,HCP000005,REP004,P001,Rep Call,True
CALL000000218,2025-03-18,HCP000005,REP004,P001,Rep Call,False
CALL000000219,2025-03-10,HCP000005,REP004,P001,Rep Call,False
CALL000000220,2025-03-30,HCP000005,REP004,P001,Rep Call,False
CALL000000221,2025-03-05,HCP000005,REP004,P001,Rep Call,False
CALL000000222,2025-08-02,HCP000005,REP004,P001,Rep Call,False
CALL000000223,2025-11-27,HCP000005,REP004,P001,Rep Call,True
CALL000000224,2023-01-22,HCP000006,REP019,P001,Rep Call,True
CALL000000225,2023-01-13,HCP000006,REP019,P001,Rep Call,True
CALL000000226,2023-02-25,HCP000006,REP019,P001,Rep Call,False
CALL000000227,2023-02-16,HCP000006,REP019,P001,Rep Call,False
CALL000000228,2023-03-25,HCP000006,REP019,P001,Rep Call,True
CALL000000229,2023-04-23,HCP000006,REP019,P001,Rep Call,False
CALL000000230,2023-04-10,HCP000006,REP019,P001,Rep Call,True
CALL000000231,2023-05-19,HCP000006,REP019,P001,Rep Call,True
CALL000000232,2023-05-02,HCP000006,REP019,P001,Rep Call,False
CALL000000233,2023-07-05,HCP000006,REP019,P001,Rep Call,False
CALL000000234,2023-08-04,HCP000006,REP019,P001,Rep Call,False
CALL000000235,2023-08-16,HCP000006,REP019,P001,Rep Call,False
CALL000000236,2023-09-01,HCP000006,REP019,P001,Rep Call,False
CALL000000237,2023-10-31,HCP000006,REP019,P001,Rep Call,False
CALL000000238,2023-10-19,HCP000006,REP019,P001,Rep Call,False
CALL000000239,2023-10-23,HCP000006,REP019,P001,Rep Call,False
CALL000000240,2023-11-25,HCP000006,REP019,P001,Rep Call,False
CALL000000241,2023-11-20,HCP000006,REP019,P001,Rep Call,True
CALL000000242,2024-01-10,HCP000006,REP019,P001,Rep Call,True
CALL000000243,2024-02-04,HCP000006,REP019,P001,Rep Call,False
CALL000000244,2024-02-26,HCP000006,REP019,P001,Rep Call,True
CALL000000245,2024-02-23,HCP000006,REP019,P001,Rep Call,False
CALL000000246,2024-03-05,HCP000006,REP019,P001,Rep Call,False
CALL000000247,2024-06-18,HCP000006,REP019,P001,Rep Call,False
CALL000000248,2024-06-27,HCP000006,REP019,P001,Rep Call,False
CALL000000249,2024-07-14,HCP000006,REP019,P001,Rep Call,False
CALL000000250,2024-07-19,HCP000006,REP019,P001,Rep Call,False
CALL000000251,2024-08-02,HCP000006,REP019,P001,Rep Call,True
CALL000000252,2024-09-18,HCP000006,REP019,P001,Rep Call,False
CALL000000253,2024-09-23,HCP000006,REP019,P001,Rep Call,False
CALL000000254,2024-09-21,HCP000006,REP019,P001,Rep Call,False
CALL000000255,2024-10-02,HCP000006,REP019,P001,Rep Call,False
CALL000000256,2024-10-25,HCP000006,REP019,P001,Rep Call,False
CALL000000257,2024-10-30,HCP000006,REP019,P001,Rep Call,False
CALL000000258,2024-10-03,HCP000006,REP019,P001,Rep Call,False
CALL000000259,2024-11-11,HCP000006,REP019,P001,Rep Call,True
CALL000000260,2024-12-30,HCP000006,REP019,P001,Rep Call,False
CALL000000261,2024-12-28,HCP000006,REP019,P001,Rep Call,False
CALL000000262,2024-12-23,HCP000006,REP019,P001,Rep Call,False
CALL000000263,2025-01-14,HCP000006,REP019,P001,Rep Call,False
CALL000000264,2025-01-04,HCP000006,REP019,P001,Rep Call,False
CALL000000265,2025-01-27,HCP000006,REP019,P001,Rep Call,True
CALL000000266,2025-01-25,HCP000006,REP019,P001,Rep Call,True
CALL000000267,2025-02-06,HCP000006,REP019,P001,Rep Call,False
CALL000000268,2025-03-31,HCP000006,REP019,P001,Rep Call,False
CALL000000269,2025-03-18,HCP000006,REP019,P001,Rep Call,False
CALL000000270,2025-03-19,HCP000006,REP019,P001,Rep Call,False
CALL000000271,2025-04-11,HCP000006,REP019,P001,Rep Call,False
CALL000000272,2025-04-12,HCP000006,REP019,P001,Rep Call,True
CALL000000273,2025-05-02,HCP000006,REP019,P001,Rep Call,False
CALL000000274,2025-06-11,HCP000006,REP019,P001,Rep Call,False
CALL000000275,2025-07-31,HCP000006,REP019,P001,Rep Call,False
CALL000000276,2025-07-06,HCP000006,REP019,P001,Rep Call,False
CALL000000277,2025-08-01,HCP000006,REP019,P001,Rep Call,False
CALL000000278,2025-09-15,HCP000006,REP019,P001,Rep Call,False
CALL000000279,2025-09-05,HCP000006,REP019,P001,Rep Call,False
CALL000000280,2025-10-10,HCP000006,REP019,P001,Rep Call,True
CALL000000281,2025-10-30,HCP000006,REP019,P001,Rep Call,False
CALL000000282,2025-10-10,HCP000006,REP019,P001,Rep Call,True
CALL000000283,2025-10-26,HCP000006,REP019,P001,Rep Call,False
CALL000000284,2025-10-27,HCP000006,REP019,P001,Rep Call,False
CALL000000285,2025-11-14,HCP000006,REP019,P001,Rep Call,False
CALL000000286,2025-12-05,HCP000006,REP019,P001,Rep Call,False
CALL000000287,2025-12-26,HCP000006,REP019,P001,Rep Call,False
CALL000000288,2023-01-13,HCP000007,REP002,P001,Rep Call,False
CALL000000289,2023-03-12,HCP000007,REP002,P001,Rep Call,False
CALL000000290,2023-08-09,HCP000007,REP002,P001,Rep Call,False
CALL000000291,2024-02-10,HCP000007,REP002,P001,Rep Call,False
CALL000000292,2024-02-16,HCP000007,REP002,P001,Rep Call,False
CALL000000293,2024-07-26,HCP000007,REP002,P001,Rep Call,True
CALL000000294,2025-01-30,HCP000007,REP002,P001,Rep Call,False
CALL000000295,2025-06-12,HCP000007,REP002,P001,Rep Call,True
CALL000000296,2025-06-15,HCP000007,REP002,P001,Rep Call,False
CALL000000297,2025-10-02,HCP000007,REP002,P001,Rep Call,False
CALL000000298,2025-12-24,HCP000007,REP002,P001,Rep Call,False
CALL000000299,2023-02-12,HCP000008,REP012,P001,Rep Call,True
CALL000000300,2023-02-13,HCP000008,REP012,P001,Rep Call,True
CALL000000301,2023-03-13,HCP000008,REP012,P001,Rep Call,False
CALL000000302,2023-03-23,HCP000008,REP012,P001,Rep Call,False
CALL000000303,2023-03-21,HCP000008,REP012,P001,Rep Call,False
CALL000000304,2023-04-18,HCP000008,REP012,P001,Rep Call,False
CALL000000305,2023-04-30,HCP000008,REP012,P001,Rep Call,True
CALL000000306,2023-05-27,HCP000008,REP012,P001,Rep Call,False
CALL000000307,2023-05-12,HCP000008,REP012,P001,Rep Call,False
CALL000000308,2023-05-30,HCP000008,REP012,P001,Rep Call,False
CALL000000309,2023-05-13,HCP000008,REP012,P001,Rep Call,False
CALL000000310,2023-05-13,HCP000008,REP012,P001,Rep Call,False
CALL000000311,2023-06-13,HCP000008,REP012,P001,Rep Call,False
CALL000000312,2023-06-11,HCP000008,REP012,P001,Rep Call,False
CALL000000313,2023-06-08,HCP000008,REP012,P001,Rep Call,True
CALL000000314,2023-07-04,HCP000008,REP012,P001,Rep Call,False
CALL000000315,2023-07-25,HCP000008,REP012,P001,Rep Call,False
CALL000000316,2023-07-07,HCP000008,REP012,P001,Rep Call,False
CALL000000317,2023-08-28,HCP000008,REP012,P001,Rep Call,True
CALL000000318,2023-08-09,HCP000008,REP012,P001,Rep Call,False
CALL000000319,2023-09-29,HCP000008,REP012,P001,Rep Call,False
CALL000000320,2023-09-17,HCP000008,REP012,P001,Rep Call,False
CALL000000321,2023-10-02,HCP000008,REP012,P001,Rep Call,False
CALL000000322,2023-10-10,HCP000008,REP012,P001,Rep Call,False
CALL000000323,2023-11-17,HCP000008,REP012,P001,Rep Call,False
CALL000000324,2023-12-13,HCP000008,REP012,P001,Rep Call,False
CALL000000325,2023-12-22,HCP000008,REP012,P001,Rep Call,False
CALL000000326,2023-12-16,HCP000008,REP012,P001,Rep Call,False
CALL000000327,2023-12-26,HCP000008,REP012,P001,Rep Call,False
CALL000000328,2024-01-08,HCP000008,REP012,P001,Rep Call,True
CALL000000329,2024-01-19,HCP000008,REP012,P001,Rep Call,False
CALL000000330,2024-01-20,HCP000008,REP012,P001,Rep Call,False
CALL000000331,2024-01-15,HCP000008,REP012,P001,Rep Call,False
CALL000000332,2024-01-19,HCP000008,REP012,P001,Rep Call,True
CALL000000333,2024-01-21,HCP000008,REP012,P001,Rep Call,False
CALL000000334,2024-01-26,HCP000008,REP012,P001,Rep Call,True
CALL000000335,2024-03-22,HCP000008,REP012,P001,Rep Call,True
CALL000000336,2024-03-25,HCP000008,REP012,P001,Rep Call,False
CALL000000337,2024-03-14,HCP000008,REP012,P001,Rep Call,True
CALL000000338,2024-04-30,HCP000008,REP012,P001,Rep Call,False
CALL000000339,2024-05-30,HCP000008,REP012,P001,Rep Call,False
CALL000000340,2024-05-05,HCP000008,REP012,P001,Rep Call,False
CALL000000341,2024-06-22,HCP000008,REP012,P001,Rep Call,True
CALL000000342,2024-06-25,HCP000008,REP012,P001,Rep Call,False
CALL000000343,2024-07-01,HCP000008,REP012,P001,Rep Call,False
CALL000000344,2024-07-31,HCP000008,REP012,P001,Rep Call,False
CALL000000345,2024-07-04,HCP000008,REP012,P001,Rep Call,False
CALL000000346,2024-08-03,HCP000008,REP012,P001,Rep Call,True
CALL000000347,2024-08-12,HCP000008,REP012,P001,Rep Call,False
CALL000000348,2024-08-21,HCP000008,REP012,P001,Rep Call,False
CALL000000349,2024-09-08,HCP000008,REP012,P001,Rep Call,False
CALL000000350,2024-09-23,HCP000008,REP012,P001,Rep Call,False
CALL000000351,2024-09-07,HCP000008,REP012,P001,Rep Call,True
CALL000000352,2024-10-28,HCP000008,REP012,P001,Rep Call,True
CALL000000353,2024-11-16,HCP000008,REP012,P001,Rep Call,True
CALL000000354,2024-12-02,HCP000008,REP012,P001,Rep Call,False
CALL000000355,2024-12-24,HCP000008,REP012,P001,Rep Call,True
CALL000000356,2025-01-26,HCP000008,REP012,P001,Rep Call,False
CALL000000357,2025-02-12,HCP000008,REP012,P001,Rep Call,False
CALL000000358,2025-02-12,HCP000008,REP012,P001,Rep Call,False
CALL000000359,2025-03-10,HCP000008,REP012,P001,Rep Call,True
CALL000000360,2025-03-12,HCP000008,REP012,P001,Rep Call,True
CALL000000361,2025-03-21,HCP000008,REP012,P001,Rep Call,True
CALL000000362,2025-05-24,HCP000008,REP012,P001,Rep Call,False
CALL000000363,2025-06-30,HCP000008,REP012,P001,Rep Call,False
CALL000000364,2025-06-20,HCP000008,REP012,P001,Rep Call,False
CALL000000365,2025-07-15,HCP000008,REP012,P001,Rep Call,False
CALL000000366,2025-07-21,HCP000008,REP012,P001,Rep Call,False
CALL000000367,2025-07-01,HCP000008,REP012,P001,Rep Call,False
CALL000000368,2025-07-18,HCP000008,REP012,P001,Rep Call,False
CALL000000369,2025-08-17,HCP000008,REP012,P001,Rep Call,False
CALL000000370,2025-09-02,HCP000008,REP012,P001,Rep Call,False
CALL000000371,2025-10-05,HCP000008,REP012,P001,Rep Call,False
CALL000000372,2025-10-17,HCP000008,REP012,P001,Rep Call,False
CALL000000373,2025-10-20,HCP000008,REP012,P001,Rep Call,True
CALL000000374,2025-10-21,HCP000008,REP012,P001,Rep Call,True
CALL000000375,2025-11-24,HCP000008,REP012,P001,Rep Call,False
CALL000000376,2025-11-06,HCP000008,REP012,P001,Rep Call,False
CALL000000377,2025-12-11,HCP000008,REP012,P001,Rep Call,False
CALL000000378,2025-12-07,HCP000008,REP012,P001,Rep Call,True
CALL000000379,2023-01-28,HCP000009,REP015,P001,Rep Call,True
CALL000000380,2023-02-03,HCP000009,REP015,P001,Rep Call,True
CALL000000381,2023-03-11,HCP000009,REP015,P001,Rep Call,True
CALL000000382,2023-06-11,HCP000009,REP015,P001,Rep Call,False
CALL000000383,2023-07-24,HCP000009,REP015,P001,Rep Call,True
CALL000000384,2023-08-04,HCP000009,REP015,P001,Rep Call,False
CALL000000385,2023-09-05,HCP000009,REP015,P001,Rep Call,True
CALL000000386,2023-09-30,HCP000009,REP015,P001,Rep Call,False
CALL000000387,2023-11-25,HCP000009,REP015,P001,Rep Call,False
CALL000000388,2023-11-30,HCP000009,REP015,P001,Rep Call,False
CALL000000389,2023-11-09,HCP000009,REP015,P001,Rep Call,False
CALL000000390,2023-12-31,HCP000009,REP015,P001,Rep Call,True
CALL000000391,2024-04-21,HCP000009,REP015,P001,Rep Call,False
CALL000000392,2024-04-13,HCP000009,REP015,P001,Rep Call,False
CALL000000393,2024-05-24,HCP000009,REP015,P001,Rep Call,False
CALL000000394,2024-05-11,HCP000009,REP015,P001,Rep Call,False
CALL000000395,2024-06-11,HCP000009,REP015,P001,Rep Call,False
CALL000000396,2024-08-18,HCP000009,REP015,P001,Rep Call,True
CALL000000397,2024-09-26,HCP000009,REP015,P001,Rep Call,False
CALL000000398,2024-10-07,HCP000009,REP015,P001,Rep Call,False
